Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time
15:33:14..671,15.70581513,0.334137,-0.00109686,0.00054228,0.00056216,0.00028801,0.00089188,0.00020271,-0.00031748,0.00026109,15:33:14..675
15:33:14..744,15.69030066,0.334137,-0.00109671,0.00054184,0.00056244,0.00028795,0.00089218,0.00020229,-0.00031757,0.00026051,15:33:14..779
15:33:14..786,16.19193519,0.334137,-0.00109689,0.00054208,0.00056223,0.00028802,0.00089235,0.00020275,-0.00031789,0.00026091,15:33:14..779
15:33:14..821,16.16607774,0.357092,-0.00109402,0.00053992,0.00056237,0.00028897,0.00090581,0.00020615,-0.00031696,0.00026884,15:33:14..779
15:33:14..904,16.41430926,0.357092,-0.0010936,0.00054043,0.00056218,0.00028895,0.00090599,0.00020585,-0.0003169,0.00026879,15:33:14..959
15:33:14..973,17.23140468,0.357092,-0.00109379,0.00054034,0.00056258,0.00028961,0.00090602,0.00020592,-0.00031668,0.00026954,15:33:14..959
15:33:15..008,17.82612603,0.383289,-0.0010883,0.00053917,0.00056352,0.00029362,0.00092447,0.00021137,-0.00031532,0.00027993,15:33:15..044
15:33:15..156,18.22433076,0.383289,-0.00108885,0.00053897,0.00056349,0.00029325,0.00092424,0.0002108,-0.00031542,0.00027971,15:33:15..188
15:33:15..202,19.52754624,0.383289,-0.00108858,0.00053862,0.00056345,0.00029283,0.00092489,0.00021124,-0.00031544,0.00027961,15:33:15..188
15:33:15..236,20.10158163,0.407727,-0.00108223,0.00053743,0.00056542,0.00029956,0.0009498,0.00021821,-0.00031341,0.00029264,15:33:15..277
15:33:15..365,20.40152805,0.407727,-0.00108271,0.00053744,0.00056475,0.00029962,0.00095008,0.00021804,-0.00031391,0.00029247,15:33:15..366
15:33:15..398,21.85471674,0.418012,-0.00107839,0.00053638,0.00056707,0.00030545,0.00096997,0.00022373,-0.00031341,0.00030212,15:33:15..409
15:33:15..464,22.0822623,0.418012,-0.00107883,0.00053653,0.0005665,0.00030537,0.00097016,0.00022368,-0.00031245,0.00030194,15:33:15..509
15:33:15..525,23.54062248,0.418012,-0.00107843,0.00053654,0.00056689,0.00030536,0.00097005,0.0002238,-0.00031275,0.00030194,15:33:15..509
15:33:15..557,23.97502764,0.425403,-0.00107469,0.00053522,0.00056853,0.00031109,0.00098901,0.0002286,-0.00031148,0.0003092,15:33:15..564
15:33:15..684,24.6680073,0.425403,-0.00107488,0.00053537,0.00056799,0.00031106,0.00098905,0.00022899,-0.00031179,0.00030931,15:33:15..683
15:33:15..715,25.96605129,0.43029,-0.00107099,0.00053376,0.00057039,0.00031652,0.00100738,0.00023441,-0.00031095,0.00031649,15:33:15..727
15:33:15..805,26.42114241,0.43029,-0.00107101,0.00053461,0.00057024,0.00031645,0.00100718,0.00023408,-0.00031065,0.00031653,15:33:15..831
15:33:15..845,27.41406849,0.43029,-0.00107102,0.00053375,0.00057008,0.00031658,0.00100755,0.00023401,-0.00031095,0.00031649,15:33:15..831
15:33:15..879,28.00878984,0.433599,-0.00106684,0.00053371,0.00057163,0.00032289,0.00102564,0.00023872,-0.00031002,0.00032371,15:33:15..919
15:33:16..025,28.45353798,0.433599,-0.00106632,0.00053365,0.0005719,0.00032299,0.00102506,0.00023864,-0.0003105,0.00032382,15:33:16..024
15:33:16..058,29.77226793,0.433597,-0.00106262,0.00053253,0.00057358,0.00032892,0.00104243,0.00024315,-0.00030984,0.00032984,15:33:16..024
15:33:16..121,30.02567094,0.432621,-0.0010631,0.00053266,0.00057318,0.000329,0.00104246,0.00024358,-0.00031001,0.00033046,15:33:16..160
15:33:16..230,31.08582639,0.432621,-0.00106263,0.00053269,0.00057376,0.00032868,0.00104267,0.0002432,-0.00030943,0.00033013,15:33:16..236
15:33:16..263,31.84603542,0.432621,-0.00106051,0.0005318,0.00057457,0.00033276,0.0010535,0.00024613,-0.0003093,0.00033465,15:33:16..236
15:33:16..297,32.19252525,0.430032,-0.00105983,0.00053116,0.00057507,0.00033482,0.00106092,0.0002474,-0.000309,0.00033597,15:33:16..347
15:33:16..410,32.30629803,0.430032,-0.0010593,0.00053134,0.00057529,0.00033431,0.00106106,0.00024803,-0.0003091,0.00033618,15:33:16..410
15:33:16..443,33.35093901,0.426709,-0.00105697,0.00053064,0.0005767,0.00033863,0.00107057,0.00025015,-0.00030837,0.00033924,15:33:16..453
15:33:16..518,33.22682325,0.424139,-0.0010569,0.00053075,0.00057642,0.0003385,0.00107051,0.00024957,-0.00030872,0.00033938,15:33:16..565
15:33:16..621,33.82671609,0.424139,-0.00105727,0.00053043,0.00057627,0.00033848,0.00107039,0.00024988,-0.00030934,0.00033934,15:33:16..565
15:33:16..656,34.01288973,0.42139,-0.00105454,0.00052977,0.00057741,0.00034177,0.00108072,0.00025212,-0.00030874,0.00034113,15:33:16..668
15:33:16..784,34.38006552,0.42139,-0.00105471,0.00052979,0.00057701,0.00034222,0.00108079,0.00025257,-0.00030832,0.00034133,15:33:16..782
15:33:16..816,34.72138386,0.416964,-0.00105368,0.00052925,0.00057731,0.00034435,0.00108548,0.00025365,-0.00030832,0.00034224,15:33:16..782
15:33:16..876,34.94892942,0.416964,-0.00105391,0.00052934,0.00057711,0.0003443,0.00108534,0.0002536,-0.00030827,0.0003425,15:33:16..912
15:33:16..919,34.76792727,0.416964,-0.00105382,0.00052931,0.00057711,0.00034436,0.00108534,0.0002536,-0.00030824,0.00034266,15:33:16..912
15:33:16..954,34.92824346,0.412435,-0.00105347,0.00052926,0.00057763,0.00034581,0.00108834,0.00025475,-0.00030799,0.00034266,15:33:16..955
15:33:17..087,35.20233243,0.412435,-0.00105251,0.00052924,0.00057814,0.00034568,0.00108826,0.00025469,-0.00030814,0.00034229,15:33:17..085
15:33:17..118,35.55916524,0.407895,-0.00105199,0.00052922,0.00057874,0.00034775,0.00109177,0.00025536,-0.00030776,0.00034359,15:33:17..085
15:33:17..194,35.45056395,0.407895,-0.00105163,0.00052948,0.00057817,0.00034719,0.00109098,0.00025498,-0.00030788,0.00034313,15:33:17..240
15:33:17..249,35.59019418,0.407895,-0.00105166,0.00052926,0.00057825,0.00034734,0.00109124,0.00025489,-0.00030803,0.00034344,15:33:17..240
15:33:17..284,35.80739676,0.403517,-0.00105141,0.00052891,0.00057855,0.00034913,0.00109338,0.00025562,-0.00030781,0.00034459,15:33:17..285
15:33:17..402,35.75568186,0.403517,-0.00105129,0.00052939,0.00057912,0.00034859,0.00109342,0.00025602,-0.00030786,0.00034382,15:33:17..399
15:33:17..433,35.76602484,0.399492,-0.00105062,0.00052864,0.00057886,0.00035006,0.00109531,0.00025646,-0.00030747,0.00034484,15:33:17..399
15:33:17..487,35.96771295,0.398216,-0.00105077,0.00052852,0.00057899,0.00034964,0.00109519,0.00025575,-0.00030772,0.00034474,15:33:17..530
15:33:17..543,35.75568186,0.398216,-0.00105099,0.00052881,0.00057883,0.0003496,0.0010951,0.00025609,-0.00030742,0.00034524,15:33:17..530
15:33:17..578,35.82291123,0.395748,-0.00105046,0.00052883,0.0005786,0.00035096,0.00109603,0.0002566,-0.00030772,0.00034479,15:33:17..649
15:33:17..692,36.00908487,0.393508,-0.00105001,0.00052892,0.00057951,0.00035064,0.00109711,0.00025676,-0.00030714,0.00034519,15:33:17..691
15:33:17..724,36.11768616,0.393508,-0.00104976,0.00052882,0.00057981,0.00035154,0.00109735,0.00025686,-0.00030715,0.00034601,15:33:17..691
15:33:17..776,36.15905808,0.391514,-0.00104977,0.00052876,0.00057966,0.00035183,0.00109734,0.00025668,-0.00030709,0.00034575,15:33:17..813
15:33:17..820,35.99874189,0.391514,-0.00105036,0.0005288,0.00057973,0.00035133,0.00109656,0.00025677,-0.00030759,0.00034565,15:33:17..813
15:33:17..854,36.05562828,0.389825,-0.00104956,0.00052894,0.00057954,0.00035263,0.0010975,0.00025691,-0.00030754,0.00034522,15:33:17..908
15:33:17..953,36.07631424,0.389094,-0.0010495,0.00052887,0.00057986,0.00035207,0.00109762,0.00025711,-0.00030727,0.00034491,15:33:17..952
15:33:17..985,36.02977083,0.387645,-0.00104899,0.0005286,0.00057993,0.00035292,0.00109844,0.00025722,-0.0003072,0.00034465,15:33:17..995
15:33:18..102,36.05562828,0.387645,-0.00104952,0.00052842,0.00057956,0.00035262,0.00109861,0.00025707,-0.00030743,0.00034562,15:33:18..099
15:33:18..134,36.15905808,0.385472,-0.00104927,0.00052823,0.0005796,0.00035285,0.00109915,0.00025703,-0.0003069,0.00034574,15:33:18..145
15:33:18..254,36.19525851,0.385472,-0.00104929,0.00052858,0.00057968,0.00035275,0.00109964,0.00025719,-0.00030706,0.00034566,15:33:18..252
15:33:18..286,36.05045679,0.383708,-0.00104858,0.00052873,0.00058005,0.00035328,0.00109929,0.00025754,-0.00030705,0.00034526,15:33:18..252
15:33:18..343,36.10217169,0.383708,-0.00104921,0.00052865,0.0005798,0.00035367,0.00109943,0.00025765,-0.00030699,0.00034577,15:33:18..371
15:33:18..404,36.01942785,0.383708,-0.00104863,0.00052863,0.00057998,0.00035368,0.00109949,0.00025733,-0.0003069,0.00034566,15:33:18..371
15:33:18..437,36.16940106,0.383166,-0.00104843,0.00052878,0.00058047,0.0003539,0.0010987,0.00025731,-0.00030716,0.00034517,15:33:18..406
15:33:18..471,36.19008702,0.381618,-0.00104862,0.00052923,0.00058042,0.00035486,0.0011,0.00025768,-0.00030699,0.00034607,15:33:18..518
15:33:18..578,36.10217169,0.381618,-0.0010482,0.00052863,0.00058019,0.00035401,0.00109916,0.00025751,-0.000307,0.00034556,15:33:18..576
15:33:18..610,36.00391338,0.380732,-0.00104891,0.0005286,0.00058017,0.00035457,0.00109935,0.00025742,-0.00030697,0.00034588,15:33:18..619
15:33:18..688,36.14354361,0.380732,-0.0010484,0.00052903,0.00058019,0.00035409,0.00109949,0.00025743,-0.00030677,0.00034626,15:33:18..687
15:33:18..722,36.02977083,0.380168,-0.00104851,0.00052903,0.00058031,0.00035467,0.00109981,0.00025784,-0.00030701,0.00034581,15:33:18..687
15:33:18..805,36.02459934,0.380168,-0.00104837,0.00052908,0.00058101,0.00035481,0.00109912,0.00025814,-0.00030656,0.00034581,15:33:18..843
15:33:18..851,36.11768616,0.380168,-0.00104861,0.00052891,0.00058074,0.00035493,0.0010996,0.00025766,-0.00030665,0.000346,15:33:18..843
15:33:18..884,35.93668401,0.379566,-0.00104782,0.00052873,0.00058084,0.0003552,0.00109935,0.00025781,-0.00030681,0.00034632,15:33:18..885
15:33:18..996,36.04011381,0.379566,-0.00104767,0.00052894,0.00058088,0.00035496,0.00109925,0.00025741,-0.00030691,0.00034681,15:33:18..994
15:33:19..027,35.90048358,0.379566,-0.00104832,0.0005289,0.00058104,0.00035515,0.00109967,0.00025773,-0.00030715,0.00034601,15:33:18..994
15:33:19..060,35.90565507,0.379198,-0.00104789,0.00052929,0.00058147,0.00035511,0.00110021,0.00025804,-0.00030695,0.00034653,15:33:19..105
15:33:19..149,36.06597126,0.379156,-0.00104832,0.00052847,0.00058095,0.000355,0.00110001,0.00025779,-0.00030703,0.00034678,15:33:19..105
15:33:19..181,35.89531209,0.379156,-0.00104756,0.00052911,0.000581,0.00035547,0.00109943,0.00025805,-0.00030664,0.00034642,15:33:19..149
15:33:19..215,35.93151252,0.379016,-0.00104783,0.00052909,0.00058133,0.00035553,0.00110038,0.00025779,-0.00030642,0.0003466,15:33:19..277
15:33:19..329,35.93151252,0.379016,-0.00104754,0.00052912,0.00058156,0.00035535,0.0010998,0.00025848,-0.00030677,0.00034652,15:33:19..329
15:33:19..362,35.96771295,0.378986,-0.00104779,0.00052878,0.00058105,0.00035586,0.00109892,0.00025748,-0.00030657,0.00034663,15:33:19..373
15:33:19..472,35.96254146,0.378986,-0.00104747,0.00052925,0.00058126,0.00035465,0.0010989,0.00025783,-0.00030663,0.00034682,15:33:19..470
15:33:19..504,35.8901406,0.378778,-0.00104799,0.00052938,0.00058152,0.00035609,0.00109861,0.0002582,-0.00030689,0.0003468,15:33:19..513
15:33:19..636,35.87979762,0.378778,-0.00104746,0.00052918,0.00058145,0.00035536,0.00109913,0.00025802,-0.0003067,0.00034674,15:33:19..634
15:33:19..668,35.97805593,0.378662,-0.00104763,0.00052887,0.00058147,0.00035618,0.00109967,0.00025731,-0.00030723,0.00034642,15:33:19..677
15:33:19..787,36.00391338,0.378662,-0.0010477,0.00052904,0.00058151,0.00035604,0.00109958,0.00025814,-0.0003071,0.00034662,15:33:19..785
15:33:19..819,35.96771295,0.378544,-0.00104759,0.00052905,0.00058192,0.00035615,0.0010997,0.00025875,-0.00030631,0.00034685,15:33:19..829
15:33:19..884,35.92116954,0.378462,-0.00104704,0.00052909,0.00058142,0.00035647,0.0010997,0.00025807,-0.00030686,0.00034646,15:33:19..926
15:33:19..957,35.71948143,0.378462,-0.00104723,0.000529,0.00058164,0.00035661,0.00109896,0.0002581,-0.00030617,0.00034695,15:33:19..926
15:33:19..992,35.89531209,0.378399,-0.00104715,0.0005291,0.00058181,0.00035628,0.00109903,0.00025869,-0.00030648,0.00034665,15:33:19..969
15:33:20..126,35.76602484,0.378399,-0.00104703,0.000529,0.00058187,0.00035626,0.00109914,0.00025816,-0.00030663,0.0003461,15:33:20..126
15:33:20..159,35.88496911,0.378399,-0.00104695,0.00052894,0.00058194,0.00035621,0.00109921,0.00025781,-0.00030679,0.00034661,15:33:20..126
15:33:20..193,35.82291123,0.377796,-0.00104663,0.00052915,0.00058221,0.0003564,0.00109925,0.00025816,-0.00030668,0.0003466,15:33:20..244
15:33:20..307,35.8901406,0.377796,-0.0010471,0.00052928,0.00058159,0.00035618,0.00109898,0.00025793,-0.00030675,0.00034673,15:33:20..307
15:33:20..341,35.99874189,0.377481,-0.00104717,0.00052928,0.00058237,0.00035643,0.00109953,0.00025841,-0.00030698,0.00034646,15:33:20..350
15:33:20..462,36.00391338,0.377481,-0.00104702,0.00052943,0.00058189,0.00035672,0.00109901,0.00025811,-0.00030691,0.00034622,15:33:20..460
15:33:20..495,35.87462613,0.377213,-0.00104675,0.00052927,0.00058156,0.00035647,0.00109922,0.0002584,-0.00030644,0.00034776,15:33:20..504
15:33:20..619,35.81773974,0.377213,-0.00104666,0.00052956,0.0005823,0.00035604,0.00109887,0.00025774,-0.00030656,0.00034669,15:33:20..617
15:33:20..652,35.72982441,0.377213,-0.00104685,0.0005295,0.00058208,0.00035698,0.00109919,0.00025818,-0.00030696,0.00034666,15:33:20..617
15:33:20..685,35.77636782,0.377258,-0.00104687,0.00052958,0.00058179,0.00035699,0.00109966,0.00025879,-0.00030663,0.00034685,15:33:20..732
15:33:20..785,35.84876868,0.377258,-0.00104692,0.00052921,0.00058233,0.00035704,0.00109933,0.00025806,-0.00030666,0.00034658,15:33:20..785
15:33:20..816,35.82808272,0.377258,-0.00104648,0.00052955,0.00058257,0.00035703,0.00109918,0.0002586,-0.00030735,0.00034692,15:33:20..785
15:33:20..849,35.81256825,0.377376,-0.0010464,0.00052962,0.00058253,0.00035683,0.00109897,0.00025771,-0.00030666,0.00034722,15:33:20..904
15:33:20..955,35.80739676,0.377376,-0.00104612,0.00052879,0.00058275,0.00035661,0.00109911,0.00025706,-0.00030675,0.0003464,15:33:20..965
15:33:20..991,35.87979762,0.377376,-0.0010468,0.00052952,0.00058217,0.00035702,0.00109936,0.00025761,-0.0003068,0.00034692,15:33:20..965
15:33:21..025,35.95736997,0.37749,-0.00104601,0.00052948,0.00058232,0.0003569,0.00109919,0.00025823,-0.00030682,0.00034658,15:33:21..042
15:33:21..124,35.89531209,0.37749,-0.00104659,0.00052951,0.0005822,0.00035676,0.00109917,0.00025825,-0.00030665,0.00034633,15:33:21..123
15:33:21..156,35.87462613,0.377577,-0.00104596,0.00052949,0.00058221,0.00035767,0.00109902,0.00025826,-0.00030662,0.00034679,15:33:21..165
15:33:21..257,35.98839891,0.377577,-0.00104671,0.00052884,0.00058241,0.00035721,0.00109889,0.00025802,-0.00030639,0.00034666,15:33:21..255
15:33:21..290,35.97805593,0.377549,-0.00104584,0.00052931,0.00058278,0.00035715,0.00109967,0.00025825,-0.00030718,0.00034717,15:33:21..299
15:33:21..422,35.87462613,0.377549,-0.00104615,0.0005293,0.00058259,0.00035761,0.00109968,0.00025876,-0.00030732,0.00034679,15:33:21..420
15:33:21..454,36.05045679,0.377549,-0.00104653,0.00052961,0.00058291,0.00035724,0.00109943,0.00025778,-0.00030714,0.00034766,15:33:21..420
15:33:21..487,35.91599805,0.37727,-0.00104627,0.00052975,0.00058266,0.00035768,0.00109944,0.00025822,-0.00030679,0.00034655,15:33:21..549
15:33:21..608,35.80222527,0.37727,-0.00104656,0.00052951,0.00058249,0.00035719,0.00109907,0.00025765,-0.00030712,0.00034657,15:33:21..607
15:33:21..641,35.70396696,0.377338,-0.00104636,0.00052947,0.00058233,0.00035767,0.00109895,0.00025766,-0.00030632,0.00034696,15:33:21..651
15:33:21..739,35.69362398,0.377338,-0.0010463,0.00052946,0.00058257,0.00035771,0.00109897,0.00025799,-0.00030699,0.00034709,15:33:21..738
15:33:21..771,35.99874189,0.377443,-0.00104602,0.00053011,0.00058254,0.00035764,0.00109875,0.00025804,-0.0003072,0.00034657,15:33:21..782
15:33:21..874,35.76602484,0.377443,-0.00104636,0.00053017,0.00058295,0.00035791,0.00109848,0.00025896,-0.00030627,0.00034675,15:33:21..872
15:33:21..907,35.87462613,0.377565,-0.00104639,0.00052946,0.00058278,0.00035768,0.001099,0.00025823,-0.0003067,0.00034715,15:33:21..916
15:33:22..023,35.84359719,0.377565,-0.00104611,0.00052953,0.00058248,0.0003578,0.00109879,0.00025821,-0.00030717,0.000347,15:33:22..023
15:33:22..057,35.79188229,0.377869,-0.00104618,0.00052917,0.00058281,0.00035759,0.00109882,0.00025749,-0.00030652,0.00034724,15:33:22..066
15:33:22..185,35.91082656,0.377869,-0.00104594,0.00052978,0.00058254,0.00035838,0.00109907,0.00025837,-0.00030651,0.00034699,15:33:22..184
15:33:22..219,35.93668401,0.378145,-0.00104584,0.00052979,0.00058266,0.00035828,0.00109903,0.00025785,-0.00030685,0.00034679,15:33:22..227
15:33:22..338,35.80222527,0.378145,-0.00104597,0.0005298,0.00058279,0.00035824,0.0010991,0.00025849,-0.00030688,0.00034692,15:33:22..336
15:33:22..369,35.80739676,0.378289,-0.0010453,0.00052965,0.00058338,0.00035807,0.0010989,0.00025802,-0.00030658,0.0003467,15:33:22..382
15:33:22..481,35.79705378,0.378289,-0.00104635,0.00052918,0.0005824,0.00035784,0.00109848,0.00025776,-0.00030684,0.00034685,15:33:22..479
15:33:22..514,35.66259504,0.378445,-0.00104576,0.00052986,0.000583,0.00035799,0.00109922,0.00025797,-0.00030633,0.000347,15:33:22..523
15:33:22..576,35.66259504,0.378416,-0.00104601,0.00052963,0.00058253,0.00035813,0.00109923,0.00025784,-0.0003065,0.00034688,15:33:22..617
